,Postalcode,Name,Huoneet,Keskivuokra - ARA-vuokra,Keskivuokra - Vapaarah. vanhat,Keskivuokra - Vapaarah. uudet,Kuukausivuokra - ARA-vuokra,Kuukausivuokra - Vapaarah. vanhat,Kuukausivuokra - Vapaarah. uudet,duration-w,duration-t,duration-d,duration-b
301,1640,Hämevaara,1h,,22.5,22.5,,698.0,673.0,2 hours 47 mins,1 hour 7 mins,24 mins,51 mins
302,1640,Hämevaara,2h,14.9,17.1,18.6,748.0,827.0,880.0,2 hours 47 mins,1 hour 7 mins,24 mins,51 mins
303,1640,Hämevaara,3h+,13.5,15.4,16.9,1074.0,1099.0,1098.0,2 hours 47 mins,1 hour 7 mins,24 mins,51 mins
304,1660,Varisto,1h,16.9,20.9,,575.0,652.0,,2 hours 41 mins,1 hour 26 mins,25 mins,47 mins
305,1660,Varisto,2h,14.0,,,803.0,,,2 hours 41 mins,1 hour 26 mins,25 mins,47 mins
306,1660,Varisto,3h+,13.5,14.1,,1068.0,1119.0,,2 hours 41 mins,1 hour 26 mins,25 mins,47 mins
307,1670,Vantaanlaakso,1h,,20.6,,,645.0,,2 hours 33 mins,43 mins,19 mins,49 mins
308,1670,Vantaanlaakso,2h,12.7,13.8,16.9,764.0,696.0,758.0,2 hours 33 mins,43 mins,19 mins,49 mins
309,1670,Vantaanlaakso,3h+,13.2,,,1176.0,,,2 hours 33 mins,43 mins,19 mins,49 mins
310,1680,Askisto,2h,13.2,,,703.0,,,3 hours 11 mins,1 hour 12 mins,25 mins,1 hour 1 min
311,1680,Askisto,3h+,13.9,,,1162.0,,,3 hours 11 mins,1 hour 12 mins,25 mins,1 hour 1 min
312,1690,Ylästö,1h,14.0,,,634.0,,,2 hours 25 mins,54 mins,22 mins,45 mins
313,1690,Ylästö,2h,13.1,9.6,,780.0,686.0,,2 hours 25 mins,54 mins,22 mins,45 mins
314,1690,Ylästö,3h+,12.5,13.0,,1102.0,972.0,,2 hours 25 mins,54 mins,22 mins,45 mins
315,1700,Kivistö,1h,19.1,21.9,23.7,661.0,666.0,695.0,3 hours 40 mins,1 hour 4 mins,25 mins,1 hour 10 mins
316,1700,Kivistö,2h,15.3,17.6,18.3,748.0,785.0,824.0,3 hours 40 mins,1 hour 4 mins,25 mins,1 hour 10 mins
317,1700,Kivistö,3h+,14.2,14.7,16.3,1049.0,1066.0,1076.0,3 hours 40 mins,1 hour 4 mins,25 mins,1 hour 10 mins
318,1710,Pähkinärinne,1h,20.3,19.6,22.5,705.0,617.0,671.0,2 hours 31 mins,1 hour 10 mins,24 mins,47 mins
319,1710,Pähkinärinne,2h,13.9,15.2,17.0,693.0,738.0,804.0,2 hours 31 mins,1 hour 10 mins,24 mins,47 mins
320,1710,Pähkinärinne,3h+,13.3,15.1,15.2,1090.0,1123.0,1048.0,2 hours 31 mins,1 hour 10 mins,24 mins,47 mins
321,1730,Vantaanpuisto,1h,,17.3,18.4,,636.0,701.0,3 hours 16 mins,1 hour 8 mins,22 mins,1 hour 1 min
322,1730,Vantaanpuisto,2h,,12.1,14.8,,678.0,806.0,3 hours 16 mins,1 hour 8 mins,22 mins,1 hour 1 min
323,1730,Vantaanpuisto,3h+,,11.5,8.0,,913.0,1054.0,3 hours 16 mins,1 hour 8 mins,22 mins,1 hour 1 min
324,1760,Seutula,1h,,,,,,,4 hours 22 mins,1 hour 15 mins,29 mins,1 hour 19 mins
325,1760,Seutula,2h,14.4,14.4,,709.0,718.0,,4 hours 22 mins,1 hour 15 mins,29 mins,1 hour 19 mins
326,1760,Seutula,3h+,11.7,,,903.0,,,4 hours 22 mins,1 hour 15 mins,29 mins,1 hour 19 mins
327,2100,Tapiola,1h,23.9,23.1,23.9,757.0,689.0,744.0,2 hours 12 mins,47 mins,27 mins,37 mins
328,2100,Tapiola,2h,17.9,18.1,17.0,866.0,851.0,801.0,2 hours 12 mins,47 mins,27 mins,37 mins
329,2100,Tapiola,3h+,15.7,15.7,15.7,1171.0,1108.0,1161.0,2 hours 12 mins,47 mins,27 mins,37 mins
330,2110,Otsolahti,1h,25.7,21.2,23.0,677.0,645.0,686.0,2 hours 2 mins,47 mins,24 mins,34 mins
331,2110,Otsolahti,2h,,15.9,17.1,,747.0,825.0,2 hours 2 mins,47 mins,24 mins,34 mins
332,2110,Otsolahti,3h+,,16.1,,,1144.0,,2 hours 2 mins,47 mins,24 mins,34 mins
333,2120,Länsikorkee-Hakaleht,1h,34.9,20.8,22.3,733.0,636.0,665.0,2 hours 22 mins,Duration not available,26 mins,41 mins
334,2120,Länsikorkee-Hakaleht,2h,,16.0,16.6,,747.0,814.0,2 hours 22 mins,Duration not available,26 mins,41 mins
335,2120,Länsikorkee-Hakaleht,3h+,20.1,12.5,,1220.0,814.0,,2 hours 22 mins,Duration not available,26 mins,41 mins
336,2130,Pohjois-Tapiola,1h,23.5,21.4,21.8,640.0,617.0,703.0,2 hours 31 mins,Duration not available,25 mins,41 mins
337,2130,Pohjois-Tapiola,2h,18.4,15.9,15.5,979.0,803.0,727.0,2 hours 31 mins,Duration not available,25 mins,41 mins
338,2130,Pohjois-Tapiola,3h+,19.0,14.4,,1240.0,1217.0,,2 hours 31 mins,Duration not available,25 mins,41 mins
339,2140,Laajalahti-Friisinmäki,1h,24.5,18.9,19.4,741.0,635.0,654.0,2 hours 17 mins,58 mins,20 mins,37 mins
340,2140,Laajalahti-Friisinmäki,2h,17.2,,,925.0,,,2 hours 17 mins,58 mins,20 mins,37 mins
341,2140,Laajalahti-Friisinmäki,3h+,15.1,12.2,,1245.0,1135.0,,2 hours 17 mins,58 mins,20 mins,37 mins
342,2150,Otaniemi,1h,15.5,19.5,18.0,415.0,453.0,420.0,2 hours 3 mins,42 mins,25 mins,42 mins
343,2150,Otaniemi,2h,12.4,13.2,13.9,542.0,552.0,595.0,2 hours 3 mins,42 mins,25 mins,42 mins
344,2150,Otaniemi,3h+,12.1,13.8,12.6,771.0,957.0,742.0,2 hours 3 mins,42 mins,25 mins,42 mins
345,2660,Lintuvaara,1h,16.8,24.5,19.7,618.0,691.0,613.0,2 hours 10 mins,1 hour 11 mins,20 mins,39 mins
346,2660,Lintuvaara,2h,13.3,16.0,,606.0,878.0,,2 hours 10 mins,1 hour 11 mins,20 mins,39 mins
347,2660,Lintuvaara,3h+,14.2,14.3,12.4,1191.0,1232.0,1135.0,2 hours 10 mins,1 hour 11 mins,20 mins,39 mins
348,2160,Westend,1h,,25.9,,,669.0,,2 hours 35 mins,1 hour 5 mins,28 mins,43 mins
349,2160,Westend,2h,,17.1,16.0,,998.0,957.0,2 hours 35 mins,1 hour 5 mins,28 mins,43 mins
350,2160,Westend,3h+,,12.9,,,1227.0,,2 hours 35 mins,1 hour 5 mins,28 mins,43 mins
351,2170,Haukilahti,1h,15.4,23.2,23.5,523.0,699.0,677.0,2 hours 49 mins,58 mins,27 mins,48 mins
352,2170,Haukilahti,2h,13.2,17.1,16.4,755.0,893.0,838.0,2 hours 49 mins,58 mins,27 mins,48 mins
353,2170,Haukilahti,3h+,13.6,15.7,,1157.0,1206.0,,2 hours 49 mins,58 mins,27 mins,48 mins
354,2230,Matinkylä,1h,16.1,20.5,22.4,508.0,669.0,712.0,3 hours 13 mins,59 mins,28 mins,56 mins
355,2230,Matinkylä,2h,14.6,16.7,17.0,747.0,832.0,829.0,3 hours 13 mins,59 mins,28 mins,56 mins
356,2230,Matinkylä,3h+,13.2,14.3,15.6,1023.0,1134.0,1158.0,3 hours 13 mins,59 mins,28 mins,56 mins
357,2180,Mankkaa,1h,,26.4,24.3,,680.0,630.0,2 hours 46 mins,53 mins,23 mins,47 mins
358,2180,Mankkaa,2h,13.5,,15.0,716.0,,847.0,2 hours 46 mins,53 mins,23 mins,47 mins
359,2180,Mankkaa,3h+,13.0,13.9,,1116.0,1391.0,,2 hours 46 mins,53 mins,23 mins,47 mins
360,2680,Uusmäki,1h,16.7,20.3,20.2,587.0,694.0,732.0,2 hours 1 min,1 hour 9 mins,21 mins,36 mins
361,2680,Uusmäki,2h,14.7,17.5,19.1,673.0,836.0,932.0,2 hours 1 min,1 hour 9 mins,21 mins,36 mins
362,2680,Uusmäki,3h+,,17.7,15.6,,1233.0,1131.0,2 hours 1 min,1 hour 9 mins,21 mins,36 mins
363,2200,Niittykumpu,1h,18.1,23.6,24.2,570.0,729.0,784.0,2 hours 53 mins,53 mins,24 mins,51 mins
364,2200,Niittykumpu,2h,15.4,18.5,19.9,732.0,871.0,941.0,2 hours 53 mins,53 mins,24 mins,51 mins
365,2200,Niittykumpu,3h+,13.8,16.1,17.5,897.0,1244.0,1217.0,2 hours 53 mins,53 mins,24 mins,51 mins
366,2210,Olari-Kuitinmäki,1h,15.5,19.0,21.5,503.0,603.0,663.0,3 hours 30 mins,59 mins,29 mins,1 hour 5 mins
367,2210,Olari-Kuitinmäki,2h,13.3,14.8,16.1,699.0,740.0,801.0,3 hours 30 mins,59 mins,29 mins,1 hour 5 mins
368,2210,Olari-Kuitinmäki,3h+,12.8,12.0,13.7,1028.0,958.0,1041.0,3 hours 30 mins,59 mins,29 mins,1 hour 5 mins
369,2240,Friisilä,1h,,,,,,,3 hours 25 mins,1 hour 1 min,29 mins,1 hour 2 mins
370,2250,Henttaa,1h,18.5,21.6,22.5,705.0,769.0,716.0,3 hours 16 mins,1 hour 4 mins,24 mins,57 mins
371,2250,Henttaa,2h,16.7,18.8,19.6,822.0,885.0,884.0,3 hours 16 mins,1 hour 4 mins,24 mins,57 mins
372,2250,Henttaa,3h+,14.9,16.8,16.3,1037.0,1232.0,1152.0,3 hours 16 mins,1 hour 4 mins,24 mins,57 mins
373,2260,Iivisniemi,1h,15.9,20.5,22.0,542.0,565.0,612.0,3 hours 52 mins,58 mins,30 mins,1 hour 7 mins
374,2260,Iivisniemi,2h,12.8,14.5,,654.0,778.0,,3 hours 52 mins,58 mins,30 mins,1 hour 7 mins
375,2260,Iivisniemi,3h+,12.3,13.2,,1014.0,1106.0,,3 hours 52 mins,58 mins,30 mins,1 hour 7 mins
376,2280,Puolarmetsä,1h,13.6,22.9,27.6,574.0,624.0,684.0,3 hours 40 mins,1 hour 24 mins,31 mins,1 hour 7 mins
377,2280,Puolarmetsä,2h,13.0,16.3,17.9,665.0,827.0,794.0,3 hours 40 mins,1 hour 24 mins,31 mins,1 hour 7 mins
378,2280,Puolarmetsä,3h+,12.2,12.2,15.5,1024.0,1121.0,1126.0,3 hours 40 mins,1 hour 24 mins,31 mins,1 hour 7 mins
379,2720,Laaksolahti-Lähderanta,1h,,23.0,24.7,,621.0,675.0,3 hours 3 mins,1 hour 7 mins,26 mins,56 mins
380,2720,Laaksolahti-Lähderanta,2h,,15.1,11.3,,678.0,607.0,3 hours 3 mins,1 hour 7 mins,26 mins,56 mins
381,2720,Laaksolahti-Lähderanta,3h+,12.8,13.5,,1055.0,988.0,,3 hours 3 mins,1 hour 7 mins,26 mins,56 mins
382,2270,Suomenoja,2h,13.8,14.8,,733.0,777.0,,3 hours 44 mins,57 mins,30 mins,1 hour 6 mins
383,2270,Suomenoja,3h+,13.7,,17.5,1161.0,,1710.0,3 hours 44 mins,57 mins,30 mins,1 hour 6 mins
384,2300,Nöykkiö,2h,13.3,,,786.0,,,3 hours 55 mins,1 hour 5 mins,32 mins,1 hour 7 mins
385,2300,Nöykkiö,3h+,12.2,,,1024.0,,,3 hours 55 mins,1 hour 5 mins,32 mins,1 hour 7 mins
386,2320,Kivenlahti,1h,15.4,19.1,20.4,521.0,658.0,669.0,4 hours 14 mins,1 hour 6 mins,32 mins,1 hour 12 mins
387,2320,Kivenlahti,2h,12.8,15.2,16.1,648.0,824.0,851.0,4 hours 14 mins,1 hour 6 mins,32 mins,1 hour 12 mins
388,2320,Kivenlahti,3h+,12.2,13.5,14.5,1023.0,1131.0,1206.0,4 hours 14 mins,1 hour 6 mins,32 mins,1 hour 12 mins
389,2330,Kattilalaakso,1h,16.0,19.6,23.0,536.0,649.0,697.0,4 hours 34 mins,1 hour 14 mins,32 mins,1 hour 21 mins
390,2330,Kattilalaakso,2h,14.1,16.0,18.6,678.0,757.0,836.0,4 hours 34 mins,1 hour 14 mins,32 mins,1 hour 21 mins
391,2330,Kattilalaakso,3h+,12.9,14.2,15.6,941.0,1035.0,1108.0,4 hours 34 mins,1 hour 14 mins,32 mins,1 hour 21 mins
392,2340,Latokaski,2h,13.8,,,831.0,,,4 hours 7 mins,1 hour 18 mins,32 mins,1 hour 15 mins
393,2340,Latokaski,3h+,12.2,13.6,,1046.0,1146.0,,4 hours 7 mins,1 hour 18 mins,32 mins,1 hour 15 mins
394,2620,Karakallio,1h,14.5,18.7,21.9,504.0,618.0,732.0,2 hours 41 mins,57 mins,23 mins,50 mins
395,2620,Karakallio,2h,14.7,16.0,17.0,744.0,801.0,811.0,2 hours 41 mins,57 mins,23 mins,50 mins
396,2620,Karakallio,3h+,12.5,15.2,16.1,1018.0,1186.0,1317.0,2 hours 41 mins,57 mins,23 mins,50 mins
397,2360,Espoonlahti,1h,19.0,17.6,19.7,663.0,622.0,706.0,4 hours 6 mins,1 hour 2 mins,32 mins,1 hour 13 mins
398,2360,Espoonlahti,2h,15.0,15.3,16.0,836.0,850.0,863.0,4 hours 6 mins,1 hour 2 mins,32 mins,1 hour 13 mins
399,2360,Espoonlahti,3h+,13.3,13.5,14.1,1122.0,1191.0,1178.0,4 hours 6 mins,1 hour 2 mins,32 mins,1 hour 13 mins
400,2600,Etelä-Leppävaara,1h,16.9,21.9,23.6,596.0,733.0,730.0,1 hour 57 mins,45 mins,19 mins,33 mins
401,2600,Etelä-Leppävaara,2h,15.0,18.2,18.6,743.0,880.0,853.0,1 hour 57 mins,45 mins,19 mins,33 mins
402,2600,Etelä-Leppävaara,3h+,14.2,16.3,16.0,1115.0,1183.0,1136.0,1 hour 57 mins,45 mins,19 mins,33 mins
403,2610,Kilo,1h,14.4,21.7,22.8,491.0,730.0,728.0,2 hours 32 mins,Duration not available,23 mins,48 mins
404,2610,Kilo,2h,13.5,17.3,18.4,627.0,858.0,903.0,2 hours 32 mins,Duration not available,23 mins,48 mins
405,2610,Kilo,3h+,12.8,16.8,16.5,1018.0,1256.0,1087.0,2 hours 32 mins,Duration not available,23 mins,48 mins
406,2630,Nihtisilta,1h,13.8,20.8,18.7,401.0,701.0,537.0,2 hours 43 mins,1 hour 14 mins,21 mins,51 mins
407,2630,Nihtisilta,2h,12.7,16.6,17.7,643.0,853.0,899.0,2 hours 43 mins,1 hour 14 mins,21 mins,51 mins
408,2630,Nihtisilta,3h+,11.9,15.7,16.8,922.0,1185.0,1242.0,2 hours 43 mins,1 hour 14 mins,21 mins,51 mins
409,2650,Pohjois-Leppävaara,1h,14.5,20.8,22.1,452.0,671.0,714.0,1 hour 56 mins,43 mins,19 mins,37 mins
410,2650,Pohjois-Leppävaara,2h,14.0,15.9,17.2,712.0,810.0,859.0,1 hour 56 mins,43 mins,19 mins,37 mins
411,2650,Pohjois-Leppävaara,3h+,13.5,15.1,16.4,1010.0,1135.0,1189.0,1 hour 56 mins,43 mins,19 mins,37 mins
412,2710,Viherlaakso,1h,11.5,20.1,24.3,392.0,610.0,691.0,2 hours 54 mins,1 hour 18 mins,25 mins,54 mins
413,2710,Viherlaakso,2h,11.6,15.4,15.6,597.0,758.0,799.0,2 hours 54 mins,1 hour 18 mins,25 mins,54 mins
414,2710,Viherlaakso,3h+,11.2,14.4,15.4,852.0,1096.0,1191.0,2 hours 54 mins,1 hour 18 mins,25 mins,54 mins
415,2740,Karvasmäki-Kunnarla,1h,15.1,20.6,20.3,588.0,611.0,680.0,4 hours 36 mins,1 hour 22 mins,33 mins,1 hour 27 mins
416,2740,Karvasmäki-Kunnarla,2h,13.2,14.9,18.1,665.0,793.0,766.0,4 hours 36 mins,1 hour 22 mins,33 mins,1 hour 27 mins
417,2740,Karvasmäki-Kunnarla,3h+,11.4,11.7,12.6,945.0,998.0,1107.0,4 hours 36 mins,1 hour 22 mins,33 mins,1 hour 27 mins
418,2750,Sepänkylä,1h,15.8,22.0,21.2,536.0,703.0,645.0,3 hours 14 mins,Duration not available,26 mins,54 mins
419,2750,Sepänkylä,2h,13.9,15.7,17.6,668.0,811.0,904.0,3 hours 14 mins,Duration not available,26 mins,54 mins
420,2750,Sepänkylä,3h+,12.2,14.5,14.5,993.0,1155.0,1150.0,3 hours 14 mins,Duration not available,26 mins,54 mins
421,2760,Espoon Keskus Itäinen,1h,18.0,19.0,20.9,604.0,667.0,671.0,3 hours 52 mins,1 hour 5 mins,25 mins,1 hour 9 mins
422,2760,Espoon Keskus Itäinen,2h,14.0,16.2,17.1,762.0,812.0,848.0,3 hours 52 mins,1 hour 5 mins,25 mins,1 hour 9 mins
423,2760,Espoon Keskus Itäinen,3h+,12.6,14.6,15.2,1021.0,1152.0,1192.0,3 hours 52 mins,1 hour 5 mins,25 mins,1 hour 9 mins
424,2770,Espoon Keskus Läntinen,1h,14.6,20.3,22.7,461.0,660.0,693.0,4 hours 5 mins,59 mins,27 mins,1 hour 20 mins
425,2770,Espoon Keskus Läntinen,2h,13.4,16.7,18.9,655.0,811.0,890.0,4 hours 5 mins,59 mins,27 mins,1 hour 20 mins
426,2770,Espoon Keskus Läntinen,3h+,12.2,13.9,16.6,944.0,1056.0,1185.0,4 hours 5 mins,59 mins,27 mins,1 hour 20 mins
427,2780,Kauklahti,1h,15.5,20.9,22.1,582.0,669.0,697.0,4 hours 53 mins,1 hour 21 mins,28 mins,1 hour 32 mins
428,2780,Kauklahti,2h,12.8,15.0,15.8,634.0,780.0,802.0,4 hours 53 mins,1 hour 21 mins,28 mins,1 hour 32 mins
429,2780,Kauklahti,3h+,11.6,13.3,13.6,935.0,1057.0,1064.0,4 hours 53 mins,1 hour 21 mins,28 mins,1 hour 32 mins
430,2810,Kumpyöli-Karhusuo,2h,,,,,,,4 hours 26 mins,1 hour 28 mins,26 mins,1 hour 22 mins
431,2810,Kumpyöli-Karhusuo,3h+,12.0,10.3,,955.0,1080.0,,4 hours 26 mins,1 hour 28 mins,26 mins,1 hour 22 mins
432,2820,Nupuri-Nuuksio,3h+,,,15.8,,,1188.0,5 hours 37 mins,1 hour 24 mins,37 mins,1 hour 43 mins
433,2920,Niipperi,1h,13.6,20.0,25.5,535.0,647.0,688.0,4 hours 6 mins,1 hour 25 mins,31 mins,1 hour 15 mins
434,2920,Niipperi,2h,13.1,,,684.0,,,4 hours 6 mins,1 hour 25 mins,31 mins,1 hour 15 mins
435,2920,Niipperi,3h+,12.0,13.9,,1055.0,1285.0,,4 hours 6 mins,1 hour 25 mins,31 mins,1 hour 15 mins
436,2940,Lippajärvi,1h,18.5,19.4,22.3,526.0,580.0,616.0,4 hours 27 mins,1 hour 35 mins,32 mins,1 hour 24 mins
437,2940,Lippajärvi,2h,13.4,15.6,17.4,649.0,726.0,756.0,4 hours 27 mins,1 hour 35 mins,32 mins,1 hour 24 mins
438,2940,Lippajärvi,3h+,12.5,14.0,14.7,994.0,1125.0,1120.0,4 hours 27 mins,1 hour 35 mins,32 mins,1 hour 24 mins
439,2970,Kalajärvi,2h,12.1,,,587.0,,,4 hours 53 mins,1 hour 26 mins,35 mins,1 hour 26 mins
440,2970,Kalajärvi,3h+,11.5,10.8,9.2,902.0,1123.0,970.0,4 hours 53 mins,1 hour 26 mins,35 mins,1 hour 26 mins
441,2980,Lakisto,1h,,19.0,,,458.0,,5 hours 15 mins,1 hour 35 mins,36 mins,1 hour 31 mins
